channel_id,channel_name,channel_category,creator_country,primary_language,channel_created_date,subscriber_band,content_rating
C00001,Pixel League,Sports,Japan,Japanese,2010-08-18,<10K,General
C00002,Urban Sessions,Music,South Korea,English,2017-04-08,<10K,General
C00003,Maria Institute,Education,India,Hindi,2025-09-15,100K-1M,General
C00004,Central Maria,Entertainment,Brazil,Portuguese,2019-10-08,<10K,Teen
C00005,Nova Explained,Education,Canada,French,2013-04-22,<10K,General
C00006,Daily Comedy,Comedy,South Korea,Korean,2012-06-08,1M-10M,General
C00007,WanderExplained,Education,India,Hindi,2023-04-03,<10K,General
C00008,TheFitness,Sports,France,French,2023-07-25,<10K,General
C00009,Tech Prime,Technology,Nigeria,English,2023-12-07,10K-100K,General
C00010,Hub Sam,Entertainment,Australia,English,2016-01-23,100K-1M,General
C00011,Sessions Global,Music,Turkey,Turkish,2011-12-17,10K-100K,Teen
C00012,True Arena,Gaming,Brazil,Portuguese,2021-09-28,<10K,General
C00013,Academy Wander,Education,Japan,Japanese,2012-10-07,10K-100K,General
C00014,RealDiaries,Lifestyle,Germany,German,2010-02-27,1M-10M,General
C00015,Wander Central,Entertainment,Canada,English,2021-05-24,100K-1M,General
C00016,AlexCo,Lifestyle,Indonesia,Indonesian,2021-08-13,100K-1M,General
C00017,DailyLeague,Sports,Indonesia,Indonesian,2024-08-12,<10K,General
C00018,NovaShow,Comedy,United States,English,2025-11-25,100K-1M,General
C00019,Real Vibes,Music,Indonesia,English,2013-12-29,<10K,General
C00020,North Zone,Gaming,Indonesia,Indonesian,2018-09-26,10K-100K,General
C00021,Laughs Global,Comedy,Nigeria,English,2021-06-25,10K-100K,General
C00022,Labs Indie,Technology,India,Hindi,2010-01-28,<10K,General
C00023,Nova Learn,Education,United Kingdom,English,2019-02-24,<10K,General
C00024,NextUnfiltered,Comedy,Indonesia,Indonesian,2018-10-01,100K-1M,General
C00025,Now Maria,News,Thailand,Thai,2017-09-14,100K-1M,General
C00026,Priya Hub,Entertainment,India,Tamil,2012-10-18,<10K,General
C00027,Fresh Reviews,Technology,Turkey,Turkish,2010-03-13,<10K,Teen
C00028,True News,News,Indonesia,Indonesian,2018-09-22,10K-100K,Teen
