video_id,channel_id,upload_date,video_category,video_type,video_language,duration_seconds,content_rating,title_length,thumbnail_style
V000001,C00069,2015-03-27,Technology,Standard Video,Portuguese,421,General,37,Screenshot
V000002,C00369,2025-07-02,Gaming,Standard Video,Portuguese,348,Teen,37,Text Overlay
V000003,C00162,2017-04-30,Film,Standard Video,English,378,General,49,Before-After
V000004,C01016,2024-06-18,News,Live Stream,Urdu,5530,General,60,Screenshot
V000005,C01576,2017-11-23,Gaming,Standard Video,Hindi,539,General,29,Collage
V000006,C01670,2023-08-10,Entertainment,Short,English,21,Teen,14,Before-After
V000007,C00243,2017-04-08,Music,Standard Video,Spanish,403,Mature,48,
V000008,C01955,2017-01-30,Comedy,Short,English,33,General,19,Face Close-up
V000009,C01058,2024-06-19,Comedy,Short,Korean,17,General,9,Screenshot
V000010,C01651,2024-08-10,Music,Standard Video,Spanish,1344,General,59,
V000011,C00583,2022-08-01,Sports,Short,Portuguese,36,General,24,Face Close-up
V000012,C00168,2021-05-15,Gaming,Short,Filipino,18,General,14,Screenshot
V000013,C00261,2019-03-07,Technology,Short,Vietnamese,54,Teen,,Face Close-up
V000014,C01821,2020-04-01,Technology,Standard Video,Hindi,397,Teen,23,Screenshot
V000015,C01496,2024-12-11,Comedy,Standard Video,Portuguese,728,Teen,47,Minimalist
V000016,C01200,2022-06-28,Sports,Short,Spanish,30,General,12,Text Overlay
V000017,C00763,2021-01-29,Comedy,Standard Video,French,691,General,38,Bright Colors
V000018,C00559,2015-02-10,Film,Standard Video,Hindi,1086,Teen,52,Minimalist
V000019,C01998,2022-12-27,Education,Standard Video,Spanish,361,General,26,Before-After
V000020,C00549,2021-06-23,News,Short,Japanese,49,General,26,Face Close-up
V000021,C00139,2019-10-08,Music,Standard Video,Portuguese,664,General,52,Bright Colors
V000022,C00583,2023-08-23,Sports,Short,Portuguese,40,Teen,29,Collage
V000023,C01031,2018-05-06,Music,Short,English,20,General,29,Collage
V000024,C01737,2022-09-01,Education,Standard Video,Bengali,328,General,,Minimalist
V000025,C00024,2019-04-01,Comedy,Standard Video,Hindi,830,General,48,Before-After
V000026,C00769,2022-11-17,Comedy,Short,English,42,General,22,Screenshot
V000027,C00948,2019-11-12,Entertainment,Standard Video,Marathi,79,General,44,Minimalist
V000028,C01931,2010-09-01,Comedy,Standard Video,French,936,General,47,Face Close-up
V000029,C01110,2022-01-13,Music,Short,Portuguese,17,General,21,Face Close-up
V000030,C00701,2022-10-17,Technology,Short,English,25,General,24,Screenshot
V000031,C01105,2023-01-04,Technology,Short,Portuguese,47,General,37,Text Overlay
V000032,C00302,2019-02-09,Lifestyle,Short,English,25,General,38,Collage
V000033,C01884,2021-04-15,Technology,Premiere,Thai,554,General,47,Before-After
V000034,C00257,2019-06-20,Technology,Standard Video,Spanish,193,General,39,Before-After
V000035,C00181,2012-06-02,Lifestyle,Standard Video,Portuguese,719,General,52,Minimalist
V000036,C00040,2015-02-15,Music,Standard Video,English,2562,General,38,Screenshot
V000037,C01622,2026-02-11,Gaming,Short,Hindi,18,General,,Minimalist
V000038,C00171,2021-10-26,Technology,Standard Video,Filipino,334,Mature,46,Face Close-up
V000039,C00155,2025-05-20,Technology,Standard Video,Hindi,61,General,40,Face Close-up
V000040,C01320,2024-01-21,Comedy,Standard Video,Portuguese,494,Mature,48,Before-After
V000041,C00499,2022-09-10,Comedy,Short,English,59,Mature,40,Screenshot
V000042,C00855,2018-10-02,Lifestyle,Standard Video,Indonesian,440,General,52,Screenshot
V000043,C01359,2024-09-20,Music,Standard Video,English,364,General,24,Collage
V000044,C00177,2019-01-20,Sports,Short,Spanish,24,Teen,22,Collage
V000045,C00271,2017-01-03,Entertainment,Standard Video,English,223,General,41,Collage
V000046,C01385,2024-02-06,Sports,Standard Video,Hindi,272,General,40,Collage
V000047,C00417,2018-11-29,Technology,Standard Video,Portuguese,1174,Teen,73,Before-After
V000048,C01576,2021-10-15,Sports,Short,Korean,52,General,18,Screenshot
V000049,C00389,2021-05-24,Entertainment,Short,English,51,General,13,Bright Colors
V000050,C00653,2024-12-13,Entertainment,Live Stream,English,10306,General,59,Minimalist
V000051,C01039,2021-08-26,Lifestyle,Standard Video,English,339,Teen,72,Minimalist
V000052,C01249,2021-02-27,Entertainment,Standard Video,Portuguese,136,Teen,32,Collage
V000053,C00672,2016-05-19,Music,Standard Video,French,150,General,44,Before-After
V000054,C00895,2025-11-24,Gaming,Short,Spanish,20,General,35,Screenshot
V000055,C01350,2025-06-10,Education,Short,English,25,General,34,Screenshot
V000056,C00723,2012-01-10,Film,Standard Video,Spanish,730,General,44,Screenshot
V000057,C00262,2024-09-11,Gaming,Short,Hindi,57,General,,Before-After
V000058,C01595,2025-02-15,Education,Standard Video,Spanish,652,General,62,Bright Colors
V000059,C01651,2023-12-06,Entertainment,Standard Video,Spanish,774,General,63,Minimalist
V000060,C00367,2024-09-30,Sports,Short,Urdu,18,Teen,29,Text Overlay
V000061,C01455,2026-05-06,Sports,Standard Video,English,635,General,43,Face Close-up
V000062,C00261,2016-02-06,Technology,Short,Vietnamese,41,Teen,11,Text Overlay
V000063,C01476,2010-10-25,Music,Standard Video,English,103,General,57,Face Close-up
V000064,C00576,2023-12-19,Sports,Standard Video,French,1111,Mature,26,Before-After
V000065,C00262,2023-01-20,Gaming,Standard Video,Hindi,273,General,51,Collage
V000066,C01135,2018-06-27,News,Standard Video,English,376,,33,Bright Colors
V000067,C01937,2024-02-17,Sports,Short,English,25,General,12,Collage
V000068,C01399,2025-09-04,Education,Short,Hindi,31,General,21,Bright Colors
V000069,C00265,2023-01-21,Music,Standard Video,Indonesian,357,General,30,Text Overlay
V000070,C00876,2013-09-11,Sports,Standard Video,English,290,Teen,44,Collage
V000071,C00514,2020-07-23,Education,Short,English,25,General,25,Bright Colors
V000072,C00394,2017-10-23,Music,Premiere,English,893,Teen,20,Face Close-up
V000073,C01306,2020-03-01,Comedy,Premiere,English,599,General,54,Face Close-up
V000074,C01013,2024-01-24,Entertainment,Standard Video,Spanish,261,General,28,Screenshot
V000075,C01844,2019-07-23,Music,Standard Video,Hindi,507,General,61,Text Overlay
V000076,C01460,2017-09-19,News,Short,Korean,39,General,31,Collage
V000077,C00595,2020-09-13,Music,Short,Italian,41,,23,Minimalist
V000078,C01084,2016-05-26,Sports,Short,English,45,General,31,Collage
V000079,C00040,2013-01-25,Music,Standard Video,English,593,General,23,Minimalist
V000080,C01392,2026-06-08,Technology,Standard Video,English,527,General,56,Screenshot
V000081,C01900,2019-10-14,Lifestyle,Standard Video,English,852,Teen,41,Screenshot
V000082,C00427,2017-11-26,Entertainment,Short,English,58,General,20,Before-After
V000083,C01677,2022-11-12,Entertainment,Short,English,20,General,36,Before-After
V000084,C00633,2017-05-01,Film,Short,English,31,General,13,Minimalist
V000085,C01348,2016-10-31,Comedy,Live Stream,English,5542,General,53,
V000086,C01800,2024-09-05,Gaming,Standard Video,Hindi,1209,General,40,Text Overlay
V000087,C01267,2021-08-27,Gaming,Standard Video,French,246,General,57,Before-After
V000088,C00094,2021-12-22,Technology,Standard Video,English,187,General,71,Face Close-up
V000089,C01276,2024-06-09,Technology,Standard Video,English,381,General,50,Before-After
V000090,C00173,2022-07-18,Gaming,Standard Video,Portuguese,1483,Teen,35,
V000091,C00465,2024-06-27,Lifestyle,Standard Video,Hindi,675,General,42,Collage
V000092,C00204,2022-07-01,Sports,Standard Video,English,339,General,34,Bright Colors
V000093,C00204,2016-06-11,Sports,Short,English,50,General,22,Screenshot
V000094,C01883,2015-12-16,Comedy,Standard Video,Filipino,689,Teen,41,Text Overlay
V000095,C00677,2025-07-10,Technology,Standard Video,English,1020,General,59,Text Overlay
V000096,C01746,2019-12-18,Education,Short,English,32,Teen,27,Collage
V000097,C00599,2019-04-29,News,Short,Spanish,52,General,35,Before-After
V000098,C00047,2011-12-02,Music,Short,English,16,General,26,Text Overlay
V000099,C00576,2015-07-30,Technology,Short,French,29,Mature,26,Minimalist
V000100,C00566,2013-05-11,News,Live Stream,Spanish,9476,Teen,28,Face Close-up
V000101,C00330,2011-06-18,Gaming,Short,English,31,Mature,20,Before-After
V000102,C01528,2022-07-16,Film,Short,Korean,41,General,27,
V000103,C01399,2019-11-13,Education,Standard Video,Hindi,66,General,55,Collage
V000104,C01630,2014-10-12,Gaming,Premiere,German,655,General,65,Face Close-up
V000105,C00037,2018-03-06,Music,Standard Video,Portuguese,1194,Mature,,Minimalist
V000106,C00117,2022-08-02,Entertainment,Standard Video,English,2930,General,66,Collage
V000107,C01991,2022-12-11,Entertainment,Standard Video,English,712,General,34,Minimalist
V000108,C01783,2015-08-08,Education,Premiere,Hindi,174,General,63,Text Overlay
V000109,C00047,2011-11-14,Lifestyle,Premiere,English,991,General,48,Text Overlay
V000110,C01784,2024-11-28,Comedy,Standard Video,Filipino,206,General,56,Before-After
V000111,C01340,2021-03-17,Education,Premiere,Spanish,149,General,46,Bright Colors
V000112,C00385,2022-12-16,Music,Short,Turkish,30,General,36,Minimalist
V000113,C00534,2021-09-29,Lifestyle,Short,Indonesian,45,Teen,16,Text Overlay
V000114,C01739,2011-06-18,Sports,Standard Video,English,168,General,58,Text Overlay
V000115,C00725,2020-08-02,Entertainment,Short,Spanish,56,General,12,Minimalist
V000116,C00247,2026-02-20,Sports,Short,English,24,General,30,Bright Colors
V000117,C00239,2023-02-22,Education,Standard Video,Spanish,754,General,41,Face Close-up
V000118,C00837,2014-06-28,Sports,Standard Video,English,1305,General,63,Before-After
V000119,C00596,2024-10-17,Film,Standard Video,Vietnamese,963,Teen,35,Face Close-up
V000120,C00806,2022-03-18,Technology,Standard Video,Portuguese,155,General,26,Minimalist
V000121,C00016,2023-06-10,Comedy,Standard Video,Indonesian,1327,General,41,Face Close-up
V000122,C00177,2014-01-02,Music,Standard Video,English,125,General,17,Before-After
V000123,C01936,2015-04-19,Lifestyle,Short,Hindi,32,General,24,Minimalist
V000124,C01892,2010-08-02,Film,Standard Video,German,850,General,34,Face Close-up
