experiment_id,user_id,variant,assignment_date,first_exposure_date,eligible_flag
EXP_2026_HOMEPAGE_RANK_V2,U019110,Control,2026-05-17,2026-05-21,True
EXP_2026_HOMEPAGE_RANK_V2,U017351,Control,2026-04-28,2026-05-02,True
EXP_2026_HOMEPAGE_RANK_V2,U008366,Treatment,2026-06-09,2026-06-14,True
EXP_2026_HOMEPAGE_RANK_V2,U003270,Control,2026-05-16,2026-05-18,True
EXP_2026_HOMEPAGE_RANK_V2,U000930,Treatment,2026-06-11,2026-06-14,True
EXP_2026_HOMEPAGE_RANK_V2,U017886,Control,2026-06-10,2026-06-14,True
EXP_2026_HOMEPAGE_RANK_V2,U016594,Treatment,2026-07-04,2026-07-08,True
EXP_2026_HOMEPAGE_RANK_V2,U013618,Treatment,2026-06-14,2026-06-17,True
EXP_2026_HOMEPAGE_RANK_V2,U020675,Control,2026-06-17,2026-06-22,True
EXP_2026_HOMEPAGE_RANK_V2,U006133,Control,2026-05-30,2026-06-02,True
EXP_2026_HOMEPAGE_RANK_V2,U022071,Control,2026-06-04,2026-06-07,True
EXP_2026_HOMEPAGE_RANK_V2,U014540,Treatment,2026-07-04,2026-07-06,True
EXP_2026_HOMEPAGE_RANK_V2,U004343,Treatment,2026-05-30,2026-06-01,True
EXP_2026_HOMEPAGE_RANK_V2,U005657,Control,2026-07-01,2026-07-01,True
EXP_2026_HOMEPAGE_RANK_V2,U004690,Treatment,2026-06-18,2026-06-19,True
EXP_2026_HOMEPAGE_RANK_V2,U016506,Control,2026-07-08,2026-07-13,True
EXP_2026_HOMEPAGE_RANK_V2,U016919,Treatment,2026-05-07,2026-05-10,True
EXP_2026_HOMEPAGE_RANK_V2,U012969,Control,2026-06-10,2026-06-12,True
EXP_2026_HOMEPAGE_RANK_V2,U016711,Treatment,2026-06-13,2026-06-13,True
EXP_2026_HOMEPAGE_RANK_V2,U007878,Control,2026-07-07,2026-07-10,True
EXP_2026_HOMEPAGE_RANK_V2,U021414,Control,2026-05-10,2026-05-12,True
EXP_2026_HOMEPAGE_RANK_V2,U018314,Treatment,2026-05-21,2026-05-26,True
EXP_2026_HOMEPAGE_RANK_V2,U008121,Treatment,2026-04-27,2026-05-01,True
EXP_2026_HOMEPAGE_RANK_V2,U005377,Treatment,2026-05-06,2026-05-06,True
EXP_2026_HOMEPAGE_RANK_V2,U021162,Control,2026-05-09,2026-05-12,True
EXP_2026_HOMEPAGE_RANK_V2,U015862,Control,2026-04-22,2026-04-27,True
EXP_2026_HOMEPAGE_RANK_V2,U023634,Treatment,2026-05-30,2026-06-01,True
EXP_2026_HOMEPAGE_RANK_V2,U021663,Treatment,2026-06-28,2026-07-03,True
EXP_2026_HOMEPAGE_RANK_V2,U006681,Control,2026-04-26,2026-04-27,True
EXP_2026_HOMEPAGE_RANK_V2,U017249,Control,2026-07-07,2026-07-10,True
EXP_2026_HOMEPAGE_RANK_V2,U015591,Treatment,2026-04-28,2026-05-01,True
EXP_2026_HOMEPAGE_RANK_V2,U012361,Control,2026-04-27,2026-05-02,True
EXP_2026_HOMEPAGE_RANK_V2,U023336,Treatment,2026-06-29,2026-06-30,True
EXP_2026_HOMEPAGE_RANK_V2,U017998,Treatment,2026-06-05,2026-06-07,True
EXP_2026_HOMEPAGE_RANK_V2,U013126,Control,2026-06-08,2026-06-11,True
EXP_2026_HOMEPAGE_RANK_V2,U002004,Treatment,2026-06-08,2026-06-13,True
EXP_2026_HOMEPAGE_RANK_V2,U000873,Treatment,2026-07-06,2026-07-09,True
EXP_2026_HOMEPAGE_RANK_V2,U004546,Control,2026-04-18,2026-04-21,True
EXP_2026_HOMEPAGE_RANK_V2,U022255,Treatment,2026-05-24,2026-05-26,True
EXP_2026_HOMEPAGE_RANK_V2,U022945,Treatment,2026-05-28,2026-06-01,True
EXP_2026_HOMEPAGE_RANK_V2,U012115,Control,2026-06-19,2026-06-23,True
EXP_2026_HOMEPAGE_RANK_V2,U002365,Control,2026-05-13,2026-05-18,True
EXP_2026_HOMEPAGE_RANK_V2,U019591,Control,2026-06-11,2026-06-15,True
EXP_2026_HOMEPAGE_RANK_V2,U004023,Treatment,2026-06-28,2026-07-02,True
EXP_2026_HOMEPAGE_RANK_V2,U016894,Treatment,2026-06-19,2026-06-19,True
EXP_2026_HOMEPAGE_RANK_V2,U000620,Control,2026-04-25,2026-04-27,True
EXP_2026_HOMEPAGE_RANK_V2,U006516,Treatment,2026-06-06,2026-06-07,True
