user_id,signup_date,country,region,age_group,preferred_language,subscription_type,acquisition_channel,preferred_device,account_status
U000001,2021-01-21,Thailand,,13-17,Thai,Free,Pre-installed App,Mobile,Active
U000002,2025-12-24,United States,West,25-34,English,Free,Direct,Desktop,Active
U000003,2022-03-22,Canada,Alberta,25-34,English,Free,Google Ads,Mobile,Churned
U000004,2024-09-23,South Korea,,18-24,English,Free,Direct,Desktop,Active
U000005,2026-02-03,France,,25-34,French,YouTube Premium,Social Media,TV,Active
U000006,2024-06-18,India,Central India,35-44,Hindi,Free,Referral,TV,Active
U000007,2025-06-25,United Kingdom,Northern Ireland,45-54,English,Free,Direct,Desktop,Inactive
U000008,2022-01-11,Brazil,Central-West,25-34,Portuguese,Free,Google Ads,Tablet,Active
U000009,2026-06-07,Indonesia,Kalimantan,35-44,English,Premium Trial,Pre-installed App,Mobile,Active
U000010,2023-09-16,India,East India,18-24,Hindi,Free,Google Ads,Mobile,Active
U000011,2026-05-07,Spain,,35-44,English,Free,Social Media,Mobile,Active
U000012,2025-06-26,United States,Midwest,45-54,English,YouTube Premium,Pre-installed App,Tablet,Inactive
U000013,2021-11-10,France,,18-24,English,Free,Pre-installed App,TV,Inactive
U000014,2025-06-14,India,East India,25-34,Hindi,Free,Pre-installed App,Desktop,Inactive
U000015,2026-02-24,Pakistan,,18-24,Urdu,Free,Direct,Desktop,Active
U000016,2026-07-22,Pakistan,,45-54,Urdu,Free,Referral,DESKTOP,Inactive
U000017,2023-04-03,United States,South,18-24,English,Free,Direct,Tablet,Active
U000018,2025-12-24,Japan,Chubu,18-24,Japanese,Free,Referral,Desktop,Inactive
U000019,2025-05-30,United States,South,55-64,English,Premium Trial,Social Media,Mobile,Active
U000020,2022-08-08,United States,,18-24,Spanish,YouTube Premium,Referral,TV,Active
U000021,2021-04-23,Vietnam,,25-34,Vietnamese,Free,Referral,Mobile,Churned
U000022,2026-01-27,Philippines,,18-24,Filipino,Free,Organic Search,Mobile,Active
U000023,2022-07-29,Germany,Berlin,55-64,German,Premium Trial,Organic Search,Mobile,Active
U000024,2025-02-27,Turkey,,35-44,English,Free,Organic Search,Desktop,Active
U000025,2023-04-06,Germany,Bavaria,18-24,German,Free,Social Media,Mobile,Active
U000026,2025-07-27,Brazil,Central-West,35-44,Portuguese,Free,Referral,Mobile,Active
U000027,2022-02-17,Spain,,13-17,English,Free,Social Media,TV,Active
U000028,2026-07-16,Italy,,25-34,Italian,Premium Trial,Organic Search,Mobile,Active
U000029,2026-03-22,Indonesia,Sulawesi,45-54,Indonesian,Free,Pre-installed App,Tablet,Active
U000030,2025-06-28,Spain,,25-34,Spanish,Free,Pre-installed App,Desktop,Active
U000031,2022-06-11,Thailand,,18-24,Thai,Free,Direct,Mobile,Active
U000032,2025-07-25,Philippines,,25-34,Filipino,Free,Google Ads,TV,Active
U000033,2025-09-03,Pakistan,,35-44,Urdu,Free,Social Media,Game Console,Active
U000034,2026-01-24,India,South India,35-44,Hindi,Free,Pre-installed App,Mobile,Active
